experiment_id,experiment_group,research_question,model_or_variant,comparison_baseline,single_difference_tested,dataset,burn_in_or_history,evaluation_set,rating_period,rd_inflation_setting,min_rd_setting,max_rd_setting,elo_k_or_scale_setting,main_metrics,secondary_metrics,expected_output_files,expected_plots,current_status,priority_for_meeting5,notes_for_dissertation
C2,Glicko rating-period runtime comparison,Is event-level a reasonable alternative to match-by-match?,Glicko event-level period,Glicko match-by-match period,Only rating-period grouping changes; C remains 0.,1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Year + event,C=0,MIN_RD=30,MAX_RD=350,Not applicable,2025 log loss; Brier score; runtime seconds,Top50/Top100 active-player overlap; number of periods,outputs/glicko_implementation/glicko_rating_period_metrics_2025.csv; future runtime summary,Active Top100 overlap; runtime bar chart,Metrics completed; runtime missing,3,Event-level is defensible but did not improve prediction under C=0 in the current results.
C3,Glicko rating-period runtime comparison,Does monthly grouping lose useful chronological information?,Glicko monthly period,Glicko match-by-match period,Only rating-period grouping changes; C remains 0.,1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Calendar month using event_order_date,C=0,MIN_RD=30,MAX_RD=350,Not applicable,2025 log loss; Brier score; runtime seconds,Active-player rating-list similarity; period sizes,outputs/glicko_implementation/glicko_rating_period_metrics_2025.csv; future runtime summary,Metrics vs runtime trade-off plot,Metrics completed; runtime missing,3,Monthly has far fewer periods than match-by-match but should be judged against prediction and ranking stability.
C4,Glicko rating-period runtime comparison,Is yearly grouping too coarse for croquet?,Glicko yearly period,Glicko match-by-match period,Only rating-period grouping changes; C remains 0.,1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Calendar year,C=0,MIN_RD=30,MAX_RD=350,Not applicable,2025 log loss; Brier score; runtime seconds,Active-player rating-list similarity; calibration,outputs/glicko_implementation/glicko_rating_period_metrics_2025.csv; future runtime summary,Metrics vs period coarseness plot,Metrics completed; runtime missing,3,Yearly is mainly a diagnostic setting and currently appears too coarse.
D1,Fair Elo-vs-Glicko comparison,How does transparent Default Elo compare with Glicko under the same evaluation design?,Default Elo K=20 scale=500,Selected Glicko C=0 and selected RD inflation variant,"Model family differs; dataset, ordering, evaluation games, and metrics fixed.",1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Elo: match-by-match; Glicko: selected period assumption,"Glicko C=0 first, then selected C",Glicko MIN_RD=30,Glicko MAX_RD=350,"Elo K=20, scale=500",Log loss; Brier score,Accuracy; calibration; confidence table; rating-list stability,Future: outputs/model_comparison/fair_elo_glicko_metrics_2025.csv,Metric comparison bar chart; calibration curves,Planned,4,Accuracy should be secondary; log loss and Brier are the main prediction metrics.
D2,Fair Elo-vs-Glicko comparison,Does Glicko outperform the prediction-oriented Elo baseline?,Validation-best Elo K=30 scale=300,Selected Glicko C=0 and selected RD inflation variant,"Model family differs; dataset, ordering, evaluation games, and metrics fixed.",1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Elo: match-by-match; Glicko: selected period assumption,"Glicko C=0 first, then selected C",Glicko MIN_RD=30,Glicko MAX_RD=350,"Elo K=30, scale=300",Log loss; Brier score,Accuracy; calibration; volatility/stability diagnostics,Future: outputs/model_comparison/fair_elo_glicko_metrics_2025.csv,Metric comparison bar chart; calibration curves,Planned,4,This is the strictest Elo comparator because it was selected by validation.
D3,Fair Elo-vs-Glicko comparison,How does low-volatility Elo behave as a stability reference?,Conservative Elo K=10 scale=500,Selected Glicko variant,Model family differs; conservative Elo is not expected to be the best predictor.,1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Elo: match-by-match; Glicko: selected period assumption,Glicko selected C,Glicko MIN_RD=30,Glicko MAX_RD=350,"Elo K=10, scale=500",Rating stability; volatility; log loss; Brier score,Accuracy; calibration; active-player ranking overlap,Future: outputs/model_comparison/fair_elo_glicko_stability_reference.csv,Volatility comparison; rating movement distribution,Planned,4,"Use conservative Elo mainly to contextualise stability and volatility, not as the main predictive baseline."
D4,Fair Elo-vs-Glicko comparison,Does the best selected Glicko RD inflation variant improve on C=0?,Glicko with best selected RD inflation,Glicko C=0 and Elo baselines,Only selected Glicko uncertainty handling changes relative to C=0.,1985-2025 full-history checked match-level dataset,1985-2025 full history unless otherwise stated,"2025 test games; expected n=11,379",Selected Glicko period assumption,Selected after RD inflation sensitivity,Glicko MIN_RD selected/fixed,Glicko MAX_RD=350,Not applicable,Log loss; Brier score; RD behaviour,Calibration; returning-player examples; active ranking stability,Future: outputs/model_comparison/fair_elo_glicko_metrics_2025.csv,RD behaviour plot; metric comparison,Blocked until RD inflation sensitivity is completed,4,This should be the Glicko candidate carried into the final comparison if RD inflation is helpful.
E1,Adaptive-K Elo comparison,Can a simple adaptive-K Elo capture part of Glicko's uncertainty advantage?,Adaptive-K Elo based on total previous games,Default Elo and selected Glicko variant,Only Elo K changes as a function of total previous games.,1985-2025 full-history checked match-level dataset,1985-2025 full history,"2025 test games; expected n=11,379",Match-by-match Elo updates,Not applicable,Not applicable,Not applicable,Higher K for <20 previous games; medium K for 20-99; lower K for 100+,Log loss; Brier score,Calibration; new-player/low-experience subgroup performance; rating volatility,Future: outputs/adaptive_elo/adaptive_k_total_games_metrics_2025.csv,Subgroup metric plot; K distribution plot,Planned,5,This is a transparent bridge model between fixed-K Elo and Glicko uncertainty.
E2,Adaptive-K Elo comparison,Can recent activity adjust Elo updates in a way similar to Glicko RD?,Adaptive-K Elo based on previous-year games,Default Elo and selected Glicko variant,Only Elo K changes as a function of previous-year activity.,1985-2025 full-history checked match-level dataset,1985-2025 full history,"2025 test games; expected n=11,379",Match-by-match Elo updates,Not applicable,Not applicable,Not applicable,Higher K for few games last year; medium K for medium activity; lower K for many games,Log loss; Brier score,Calibration; inactive/returning-player subgroup performance; rating volatility,Future: outputs/adaptive_elo/adaptive_k_previous_year_metrics_2025.csv,Subgroup metric plot; K distribution plot,Planned,5,This tests whether simple activity-aware Elo can capture some of Glicko's practical benefit.
F1,Final plots and summary tables,What evidence should be prepared for Meeting 5 and dissertation writing?,Summary tables and plots,All completed experiments,Not a model experiment; presentation layer only.,All selected experiment outputs,All selected history settings,2025 evaluation plus stability/volatility subsets,All selected period assumptions,All selected RD inflation variants,As selected,As selected,As selected,"Summary of log loss, Brier, calibration, RD behaviour, runtime, stability",Meeting-ready tables; dissertation-ready interpretation notes,Future: outputs/meeting5_summary_tables/*.csv,Metric comparison; calibration; RD distribution; runtime; rating-list overlap,Planned after experiments B-D,6,This converts experiments into evidence the supervisor can evaluate quickly.
