comparison_id,reference_file,new_file,key_columns,row_count_reference,row_count_new,column_match,key_match,max_absolute_numeric_difference,text_columns_match,tolerance,status,notes
34_match_level_bootstrap_confidence_intervals,outputs/meeting7/34_match_level_bootstrap_confidence_intervals.csv,outputs/refactor_validation/meeting7/34_match_level_bootstrap_confidence_intervals.csv,group|metric,18,18,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_match_level_early_game_robustness,outputs/meeting7/34_match_level_early_game_robustness.csv,outputs/refactor_validation/meeting7/34_match_level_early_game_robustness.csv,group,6,6,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_metric_validation_checks,outputs/meeting7/34_metric_validation_checks.csv,outputs/refactor_validation/meeting7/34_metric_validation_checks.csv,check_name,23,23,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_pairwise_model_differences,outputs/meeting7/34_pairwise_model_differences.csv,outputs/refactor_validation/meeting7/34_pairwise_model_differences.csv,group_type|group|comparison,96,96,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_stage_bin_model_performance,outputs/meeting7/34_stage_bin_model_performance.csv,outputs/refactor_validation/meeting7/34_stage_bin_model_performance.csv,group_type|group|model,24,24,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_bootstrap_figure_validation_checks,outputs/meeting7/34_bootstrap_figure_validation_checks.csv,outputs/refactor_validation/meeting7/34_bootstrap_figure_validation_checks.csv,check_name,10,10,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
34_figure_manifest,outputs/meeting7/34_figure_manifest.csv,outputs/refactor_validation/meeting7/34_figure_manifest.csv,figure_id,6,6,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort; path compared by filename.
41_burnin_definition_sensitivity,outputs/meeting8_technical/41_burnin_definition_sensitivity.csv,outputs/refactor_validation/meeting8_technical/41_burnin_definition_sensitivity.csv,burn_in_years,4,4,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
41_debut_cohort_summary,outputs/meeting8_technical/41_debut_cohort_summary.csv,outputs/refactor_validation/meeting8_technical/41_debut_cohort_summary.csv,group,6,6,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
41_yearly_debut_anchor_diagnostics,outputs/meeting8_technical/41_yearly_debut_anchor_diagnostics.csv,outputs/refactor_validation/meeting8_technical/41_yearly_debut_anchor_diagnostics.csv,year|entry_cohort,41,41,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
41_yearly_rating_scale_drift,outputs/meeting8_technical/41_yearly_rating_scale_drift.csv,outputs/refactor_validation/meeting8_technical/41_yearly_rating_scale_drift.csv,year,41,41,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
41_2025_first_appearance_validation,outputs/meeting8_technical/41_2025_first_appearance_validation.csv,outputs/refactor_validation/meeting8_technical/41_2025_first_appearance_validation.csv,match_id|player_id,76,76,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
41_validation_checks,outputs/meeting8_technical/41_validation_checks.csv,outputs/refactor_validation/meeting8_technical/41_validation_checks.csv,check,19,19,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
42_entry_year_scale_summary,outputs/meeting8_technical/42_entry_year_scale_summary.csv,outputs/refactor_validation/meeting8_technical/42_entry_year_scale_summary.csv,year|entry_cohort,41,41,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
42_entry_cohort_scale_summary,outputs/meeting8_technical/42_entry_cohort_scale_summary.csv,outputs/refactor_validation/meeting8_technical/42_entry_cohort_scale_summary.csv,group,5,5,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
42_2025_crossfile_entry_audit,outputs/meeting8_technical/42_2025_crossfile_entry_audit.csv,outputs/refactor_validation/meeting8_technical/42_2025_crossfile_entry_audit.csv,match_id|player_id,76,76,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
42_probability_orientation_sensitivity,outputs/meeting8_technical/42_probability_orientation_sensitivity.csv,outputs/refactor_validation/meeting8_technical/42_probability_orientation_sensitivity.csv,group,5,5,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
42_burnin_sensitivity_audit,outputs/meeting8_technical/42_burnin_sensitivity_audit.csv,outputs/refactor_validation/meeting8_technical/42_burnin_sensitivity_audit.csv,burn_in_years,4,4,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
42_validation_checks,outputs/meeting8_technical/42_validation_checks.csv,outputs/refactor_validation/meeting8_technical/42_validation_checks.csv,check_name,54,54,True,True,0.0,True,1e-10,PASS,Exact schema comparison after stable key sort.
