"file","step_number","category","main_purpose","imports_local_files","imported_by_other_files","reads_inputs","writes_outputs","contains_reusable_functions","contains_model_logic","contains_only_orchestration","contains_only_validation","appears_superseded","possible_successor","duplicate_or_near_duplicate","recommended_action","reason"
"14_elo_burnin_rating_list_stability.py","14","Evaluation and diagnostics","Run the full-history Elo burn-in and final rating-list stability experiment.","","","full-history checked matches","burn-in histories; rating lists; metrics; summaries","true","true","false","false","false","","No exact duplicate","Archive preserved","The experiment is computationally large and scientifically meaningful but not a routine active command."
"15_elo_single_year_rerun_convergence.py","15","Historical one-off experiment","Test repeated within-year Elo rerun convergence.","","","full-history checked matches","iteration summaries; final ratings; decisions","true","true","false","false","false","","No exact duplicate","Archive preserved","This negative or diagnostic result is distinct and should remain auditable."
"16_elo_event_level_volatility.py","16","Evaluation and diagnostics","Compare match-level Elo updates with event-level net volatility.","","","full-history checked matches","player-event details; summaries; examples","true","true","false","false","false","","No exact duplicate","Archive preserved","The event-volatility analysis is unique dissertation evidence."
"17_elo_baseline_decision_summary.py","17","Thin orchestration script","Combine Elo diagnostics into the final baseline decision evidence.","","","Steps 11-16 compact outputs","candidate baselines; evidence tables; meeting summaries","true","false","true","false","false","code/config.py and README documentation","No exact duplicate","Archive preserved","The report captures why the frozen Elo configurations were selected."
"18_glicko_core_sanity_check.py","18","Evaluation and diagnostics","Run formula-level Glicko sanity examples and safeguards.","glicko_core.py","","canonical Glicko core","sanity result tables and Markdown","true","false","false","true","false","tests/test_glicko_core.py","No exact duplicate","Archive preserved after tests are added","The validation logic is retained in tests and the historical report remains auditable."
"19_glicko_match_by_match_baseline.py","19","Model pipeline","Run the first full-history match-by-match Glicko baseline.","glicko_core.py","","full-history checked matches","predictions; ratings; RD summaries; metrics","true","true","false","false","true","24_glicko_rd_inflation_sensitivity.py","Shares Glicko loop structure with Steps 20 and 24","Archive preserved","Step 24 retains the match-by-match baseline and adds the selected inactivity sensitivity."
"20_glicko_rating_period_sensitivity.py","20","Historical one-off experiment","Compare match, event, month, and year Glicko rating periods.","glicko_core.py","","full-history checked matches","period predictions; ratings; metrics; similarity","true","true","false","false","false","","No exact duplicate","Archive preserved","The rating-period experiment remains scientifically meaningful but is not the selected pipeline."
"21_create_elo_confirmation_answers_word.py","21","Historical one-off experiment","Generate a Word document answering Elo confirmation questions.","","","private question document; compact Elo outputs","DOCX summary","true","false","true","false","true","","No exact duplicate","Archive preserved","Document generation is outside the active scientific codebase."
"22_meeting5_experiment_matrix.py","22","Thin orchestration script","Generate the Meeting 5 experiment planning matrix and file inventory.","","references Steps 13-20 by filename","repository files and planned outputs","planning CSV and Markdown","true","false","true","false","true","","No exact duplicate","Archive preserved","It is a historical planning artifact rather than an active pipeline."
"23_glicko_implementation_validation.py","23","Evaluation and diagnostics","Validate Glicko formulas, RD behaviour, predictions, and rating-list similarity.","glicko_core.py","","Glicko outputs; Elo outputs; full-history matches","validation checks; issues; summary; scatter figure","true","false","false","true","false","tests/test_glicko_core.py and code/validation_utils.py","No exact duplicate","Archive preserved after tests are added","It protects published results and remains available for full historical validation."
"24_glicko_rd_inflation_sensitivity.py","24","Model pipeline","Run frozen match-by-match Glicko variants and select low inactivity inflation.","glicko_core.py","41 and 42 load it dynamically; 25 reads its compact outputs","full-history checked matches","variant predictions; ratings; metrics; RD and gap summaries","true","true","false","false","false","code/pipelines/glicko_pipeline.py","Shares scaffolding with Step 25; unique selected model logic","Move to canonical Glicko pipeline","This is the validated processing order and low-inflation source used by the published diagnostics."
"25_glicko_rating_period_runtime_comparison.py","25","Historical one-off experiment","Compare runtime and predictions across rating-period choices using low inflation.","glicko_core.py","","full-history matches; Step 24 metrics","runtime; similarity; predictions; figures","true","true","false","false","false","","Near-duplicate scaffolding with Step 24","Archive preserved","It is a distinct runtime sensitivity experiment and not an exact duplicate."
"26_fair_elo_vs_glicko_comparison.py","26","Model pipeline","Compare fixed Elo and Glicko candidates on the same 2025 evaluation set.","","30 reads its source text; 27 uses its outputs","full-history matches; Step 24 Glicko outputs","fair comparison metrics; predictions; ratings; figures","true","true","false","false","true","33_recompute_orientation_corrected_meeting6_results.py","High structural similarity to Step 27; distinct models","Archive preserved","The pre-orientation-correction results are superseded but scientifically necessary for the audit trail."
"27_adaptive_k_elo_comparison.py","27","Historical one-off experiment","Run adaptive-K Elo variants and compare them with fixed Elo and Glicko.","","38 and the final audit reference it","full-history matches; Step 26 outputs","adaptive-K predictions; diagnostics; metrics; figures","true","true","false","false","false","","High structural similarity to Step 26; unique adaptive-K logic","Archive preserved","This is the retained negative-result source and contains unique player-specific K logic."
"28_build_prematch_player_features.py","28","Data preparation","Build chronological prematch player features for the fixed 2025 sample.","","","full-history matches; fair predictions","player-long and match-level feature tables; checks","true","false","false","false","false","","No exact duplicate","Archive preserved","Its detailed feature lineage remains useful, while active entry diagnostics implement the stricter required state."
"29_where_glicko_helps.py","29","Evaluation and diagnostics","Analyse model differences across activity, experience, confidence, and RD groups.","","","Step 28 features; Step 26 and 27 predictions","per-match scores; subgroup metrics; bootstrap tables; figures","true","false","false","false","true","33_recompute_orientation_corrected_meeting6_results.py","No exact duplicate","Archive preserved","Its Glicko orientation was later corrected by Step 33, so it remains historical input rather than an active endpoint."
"30_debut_initialisation_and_robustness_diagnostics.py","30","Evaluation and diagnostics","Analyse debut behaviour, initialisation, returners, exclusions, and calibration robustness.","reads Step 26 source text","","Steps 28 and 29 outputs","debut and robustness tables; figures; checks","true","false","false","false","true","33_recompute_orientation_corrected_meeting6_results.py and 34_early_game_analysis.py","No exact duplicate","Archive preserved","Later orientation-corrected and appearance-based analyses supersede its headline use."
"31_methodological_corrections_and_meeting6_finalisation.py","31","Superseded but scientifically meaningful","Apply methodological corrections and assemble the pre-orientation Meeting 6 final outputs.","references glicko_core.py textually","","Steps 29 and 30 outputs","decomposition; bootstrap; meeting tables; figures","true","true","false","false","true","33_recompute_orientation_corrected_meeting6_results.py","No exact duplicate","Archive preserved","Step 33 explicitly supersedes its probability-based outputs while retaining its supporting diagnostics."
"32_glicko_probability_orientation_audit.py","32","Evaluation and diagnostics","Audit the non-complementary Glicko probability-orientation problem.","","","Steps 24 and 29 predictions and scores","direct probability comparison; impact tables; validation","true","true","false","true","false","code/analysis/orientation.py","No exact duplicate","Archive preserved after helper extraction","This audit establishes the correction used by Step 33 and must remain recoverable."
"33_recompute_orientation_corrected_meeting6_results.py","33","Model pipeline","Recompute final Meeting 6 results with the fixed direct player-A Glicko convention.","","34; 37; 38; 39; 41; 42 and final audit consume its outputs","Steps 29-32 compact and detailed outputs","orientation-corrected per-match scores; metrics; bootstrap; figures","true","true","false","false","false","code/pipelines/comparison_pipeline.py","No exact duplicate","Move to canonical comparison pipeline","This is the frozen formal probability convention and active comparison source."
"34_early_game_analysis.py","34","Evaluation and diagnostics","Expand matches to focal-player appearances and calculate early-game metrics and robustness.","","35-42 and final audit consume its outputs","Step 33 orientation-corrected scores","appearance dataset; stage metrics; bootstrap; figures; checks","true","false","false","false","false","code/analysis/early_game.py","No exact duplicate","Move to canonical early-game module","This defines the formal focal-player convention and early-game group definitions."
"35_early_game_mechanism_analysis.py","35","Evaluation and diagnostics","Analyse probability bias, extremity, RD, opponent strength, and calibration mechanisms.","","","Step 34 appearance and metric outputs","mechanism summaries; bootstrap; figures; validation","true","false","false","false","false","","No exact duplicate","Archive preserved","This remains useful supporting evidence but is not required as a core active entry point."
"36_glicko_initialisation_source_diagnostic.py","36","Evaluation and diagnostics","Diagnose Glicko debut initialisation and counterfactual probability mechanisms.","glicko_core.py","","Steps 34 and 35 outputs","initialisation diagnostics; counterfactuals; figures; checks","true","true","false","false","false","","No exact duplicate","Archive preserved","It contains unique counterfactual evidence and formula checks."
"37_glicko_initial_rating_sensitivity.py","37","Historical one-off experiment","Test fixed Glicko initial-rating candidates without changing other settings.","glicko_core.py","","full-history matches; Steps 33; 34; 36","candidate predictions; metrics; bootstrap; figures","true","true","false","false","false","","No exact duplicate","Archive preserved","It is a targeted sensitivity experiment and not the selected model pipeline."
"38_asymmetric_adaptive_k_elo.py","38","Historical one-off experiment","Run the asymmetric adaptive-K Elo proof of concept and recovery diagnostics.","","","full-history matches; Steps 27; 33; 34","adaptive-K diagnostics; metrics; figures; checks","true","true","false","false","false","","No exact duplicate","Archive preserved","The negative result is scientifically meaningful and retains unique K-A/K-B logic."
"39_glicko_orientation_sensitivity_audit.py","39","Evaluation and diagnostics","Compare current, reversed, direct, and midpoint Glicko probability conventions.","glicko_core.py","","Steps 33 and 34 outputs","orientation datasets; bootstrap; figures; validation","true","true","false","false","false","code/analysis/orientation.py","No exact duplicate","Archive preserved after helper extraction","It is a distinct sensitivity analysis and supports the formal convention choice."
"40_finalize_orientation_reporting.py","40","Thin orchestration script","Correct Step 39 reporting metadata without changing numerical results.","","","Step 39 compact outputs","corrected reporting tables; wording; validation","true","false","true","false","false","","No exact duplicate","Archive preserved","This is a reporting correction tied to the historical Step 39 output set."
"41_burnin_entry_and_rating_drift_diagnostic.py","41","Evaluation and diagnostics","Classify first-recorded entry cohorts and summarise broad end-of-year Glicko scale drift.","24_glicko_rd_inflation_sensitivity.py via importlib","42 compares its classifications","Step 24 full history; Step 34 appearances","entry classification; yearly scale and cohort summaries; figures","true","true","false","false","false","code/analysis/rating_drift.py","No exact duplicate","Move to active rating-drift module","Step 42 is stricter for prematch entry scale, but Step 41 uniquely preserves broad end-of-year summaries."
"42_prematch_entry_scale_and_crossfile_audit.py","42","Evaluation and diagnostics","Run strict processing-order entry classification, prematch scale, cross-file, and orientation audits.","24_glicko_rd_inflation_sensitivity.py via importlib","none","Step 24 full history; Steps 33; 34; 41","strict entry tables; scale summaries; reconciliation; figures; validation","true","true","false","false","false","code/analysis/entry_diagnostics.py","No exact duplicate","Move to canonical entry diagnostics","This is the stricter source for the published entry-scale and cross-file conclusions."
"glicko_core.py","","Core reusable implementation","Provide validated Glicko-1 expected-score, RD, and two-player update equations.","","18; 19; 20; 23; 24; 25; 36; 37; 39","in-memory ratings and outcomes","in-memory update results","true","true","false","false","false","code/models/glicko.py plus compatibility wrapper","No exact duplicate","Move implementation and retain wrapper","A single canonical implementation is required; the wrapper preserves historical imports."
"load_croquet_data.py","","Data preparation","Download and verify annual raw croquet source files.","","none","remote annual source URLs","data_raw annual source files","true","false","false","false","false","code/data/download.py","No exact duplicate","Move to canonical data package","It remains the active acquisition helper but raw data access is external."
"meeting7_final_code_audit.py","","Evaluation and diagnostics","Audit Steps 27 and 32-40 and assemble the final Meeting 7 report summary.","","none","tracked code and Meeting 6/7 compact outputs","final audit checks; issues; report summaries","true","false","false","true","false","tests and refactor/golden_output_comparison.csv","No exact duplicate","Archive preserved","It is a frozen historical validation report; new regression tests replace its active role without deleting it."
