output_name,original_path,refactored_expected_path,output_category,comparison_method,key_columns,numeric_columns,large_row_level_file,required_for_regression,notes
33_overall_exclusion_robustness.csv,outputs/meeting6/33_overall_exclusion_robustness.csv,outputs/refactor_validation/meeting6/33_overall_exclusion_robustness.csv,robustness,full keyed CSV comparison,sample,games|events|glicko_brier|elo_brier|delta_brier_glicko_vs_elo|glicko_logloss|elo_logloss|delta_logloss_glicko_vs_elo|glicko_accuracy|elo_accuracy|delta_accuracy_glicko_vs_elo|delta_brier_inflation|delta_logloss_inflation|delta_accuracy_inflation|delta_brier_glicko_vs_adaptive|delta_logloss_glicko_vs_adaptive|delta_accuracy_glicko_vs_adaptive|percentage_games_glicko_lower_brier_than_elo|percentage_games_glicko_lower_logloss_than_elo|delta_brier_ci_lower|delta_brier_ci_upper|delta_logloss_ci_lower|delta_logloss_ci_upper|bootstrap_replications,False,True,
33_overall_model_metrics.csv,outputs/meeting6/33_overall_model_metrics.csv,outputs/refactor_validation/meeting6/33_overall_model_metrics.csv,overall model comparison,full keyed CSV comparison,model,evaluation_games|events|brier|log_loss|accuracy|mean_favourite_probability|favourite_win_rate|corrected_favourite_calibration_error,False,True,
33_overall_pairwise_comparisons.csv,outputs/meeting6/33_overall_pairwise_comparisons.csv,outputs/refactor_validation/meeting6/33_overall_pairwise_comparisons.csv,overall paired comparison,full keyed CSV comparison,comparison,games|events|delta_brier|delta_logloss|delta_accuracy,False,True,
33_returning_exclusive_bins.csv,outputs/meeting6/33_returning_exclusive_bins.csv,outputs/refactor_validation/meeting6/33_returning_exclusive_bins.csv,returning-player analysis,full keyed CSV comparison,subgroup,lower_days|upper_days|games|events|glicko_brier|elo_brier|delta_brier_glicko_vs_elo|glicko_logloss|elo_logloss|delta_logloss_glicko_vs_elo|glicko_accuracy|elo_accuracy|delta_accuracy_glicko_vs_elo|delta_brier_inflation|delta_logloss_inflation|delta_accuracy_inflation|delta_brier_glicko_vs_adaptive|delta_logloss_glicko_vs_adaptive|delta_accuracy_glicko_vs_adaptive|percentage_games_glicko_lower_brier_than_elo|percentage_games_glicko_lower_logloss_than_elo|delta_brier_ci_lower|delta_brier_ci_upper|delta_logloss_ci_lower|delta_logloss_ci_upper|delta_brier_inflation_ci_lower|delta_brier_inflation_ci_upper|bootstrap_replications,False,True,
33_returning_player_corrected_results.csv,outputs/meeting6/33_returning_player_corrected_results.csv,outputs/refactor_validation/meeting6/33_returning_player_corrected_results.csv,returning-player analysis,full keyed CSV comparison,subgroup,threshold_days|games|events|glicko_brier|elo_brier|delta_brier_glicko_vs_elo|glicko_logloss|elo_logloss|delta_logloss_glicko_vs_elo|glicko_accuracy|elo_accuracy|delta_accuracy_glicko_vs_elo|delta_brier_inflation|delta_logloss_inflation|delta_accuracy_inflation|delta_brier_glicko_vs_adaptive|delta_logloss_glicko_vs_adaptive|delta_accuracy_glicko_vs_adaptive|percentage_games_glicko_lower_brier_than_elo|percentage_games_glicko_lower_logloss_than_elo|delta_brier_ci_lower|delta_brier_ci_upper|delta_logloss_ci_lower|delta_logloss_ci_upper|delta_brier_inflation_ci_lower|delta_brier_inflation_ci_upper|bootstrap_replications,False,True,
33_standard_brier_decomposition_bins.csv,outputs/meeting6/33_standard_brier_decomposition_bins.csv,outputs/refactor_validation/meeting6/33_standard_brier_decomposition_bins.csv,Brier decomposition,full keyed CSV comparison,sample|model|bin_index,bin_index|bin_lower|bin_upper|games|mean_predicted_probability|empirical_player_a_win_rate|bin_weight,False,True,
33_standard_brier_decomposition_summary.csv,outputs/meeting6/33_standard_brier_decomposition_summary.csv,outputs/refactor_validation/meeting6/33_standard_brier_decomposition_summary.csv,Brier decomposition,full keyed CSV comparison,sample|model,games|events|overall_event_rate|reliability|resolution|uncertainty|reconstructed_brier|actual_brier|reconstruction_difference|bin_width,False,True,
33_standard_calibration_bins.csv,outputs/meeting6/33_standard_calibration_bins.csv,outputs/refactor_validation/meeting6/33_standard_calibration_bins.csv,calibration,full keyed CSV comparison,sample|model|bin_label,bin_lower|bin_upper|games|mean_player_a_probability|empirical_player_a_win_rate|calibration_gap,False,True,
33_standard_calibration_summary.csv,outputs/meeting6/33_standard_calibration_summary.csv,outputs/refactor_validation/meeting6/33_standard_calibration_summary.csv,calibration,full keyed CSV comparison,sample|model,games|events|standard_player_a_calibration_error|brier|logloss,False,True,
33_subgroup_bootstrap_confidence_intervals.csv,outputs/meeting6/33_subgroup_bootstrap_confidence_intervals.csv,outputs/refactor_validation/meeting6/33_subgroup_bootstrap_confidence_intervals.csv,bootstrap,full keyed bootstrap comparison,subgroup_variable|subgroup|diff_name,games|unique_events|point_estimate|ci_lower|ci_upper|bootstrap_replications,False,True,
33_subgroup_model_performance_long.csv,outputs/meeting6/33_subgroup_model_performance_long.csv,outputs/refactor_validation/meeting6/33_subgroup_model_performance_long.csv,subgroup analysis,full keyed CSV comparison,subgroup_variable|subgroup|model,evaluation_games|events|brier|log_loss|accuracy|mean_favourite_probability|favourite_win_rate|corrected_favourite_calibration_error,False,True,
33_subgroup_pairwise_comparisons.csv,outputs/meeting6/33_subgroup_pairwise_comparisons.csv,outputs/refactor_validation/meeting6/33_subgroup_pairwise_comparisons.csv,subgroup paired comparison,full keyed CSV comparison,subgroup_variable|subgroup,games|events|glicko_brier|elo_brier|delta_brier_glicko_vs_elo|glicko_logloss|elo_logloss|delta_logloss_glicko_vs_elo|glicko_accuracy|elo_accuracy|delta_accuracy_glicko_vs_elo|delta_brier_inflation|delta_logloss_inflation|delta_accuracy_inflation|delta_brier_glicko_vs_adaptive|delta_logloss_glicko_vs_adaptive|delta_accuracy_glicko_vs_adaptive|percentage_games_glicko_lower_brier_than_elo|percentage_games_glicko_lower_logloss_than_elo,False,True,
33_supersession_map.csv,outputs/meeting6/33_supersession_map.csv,outputs/refactor_validation/meeting6/33_supersession_map.csv,provenance,full keyed text comparison,old_file,,False,True,
33_meeting6_orientation_corrected_final_summary.md,outputs/meeting6/33_meeting6_orientation_corrected_final_summary.md,outputs/refactor_validation/meeting6/33_meeting6_orientation_corrected_final_summary.md,Markdown scientific summary,normalised full-text and structured headline comparison,,,False,True,Validation-root path prefixes are normalised before comparison.
33_fig01_overall_brier_zoomed.png,outputs/meeting6/figures/33_fig01_overall_brier_zoomed.png,outputs/refactor_validation/meeting6/figures/33_fig01_overall_brier_zoomed.png,figure,"existence, image-open, dimension, content, and visual QA",,,False,True,Pixel-identical rendering is not required.
33_fig02_exclusion_robustness_delta_brier.png,outputs/meeting6/figures/33_fig02_exclusion_robustness_delta_brier.png,outputs/refactor_validation/meeting6/figures/33_fig02_exclusion_robustness_delta_brier.png,figure,"existence, image-open, dimension, content, and visual QA",,,False,True,Pixel-identical rendering is not required.
33_fig03_debut_probability_vs_actual.png,outputs/meeting6/figures/33_fig03_debut_probability_vs_actual.png,outputs/refactor_validation/meeting6/figures/33_fig03_debut_probability_vs_actual.png,figure,"existence, image-open, dimension, content, and visual QA",,,False,True,Pixel-identical rendering is not required.
33_fig04_zero_activity_debut_decomposition.png,outputs/meeting6/figures/33_fig04_zero_activity_debut_decomposition.png,outputs/refactor_validation/meeting6/figures/33_fig04_zero_activity_debut_decomposition.png,figure,"existence, image-open, dimension, content, and visual QA",,,False,True,Pixel-identical rendering is not required.
33_fig05_returner_inflation_gain.png,outputs/meeting6/figures/33_fig05_returner_inflation_gain.png,outputs/refactor_validation/meeting6/figures/33_fig05_returner_inflation_gain.png,figure,"existence, image-open, dimension, content, and visual QA",,,False,True,Pixel-identical rendering is not required.
33_fig06_no_debut_rd_quartiles.png,outputs/meeting6/figures/33_fig06_no_debut_rd_quartiles.png,outputs/refactor_validation/meeting6/figures/33_fig06_no_debut_rd_quartiles.png,figure,"existence, image-open, dimension, content, and visual QA",,,False,True,Pixel-identical rendering is not required.
33_fig07_standard_player_a_calibration.png,outputs/meeting6/figures/33_fig07_standard_player_a_calibration.png,outputs/refactor_validation/meeting6/figures/33_fig07_standard_player_a_calibration.png,figure,"existence, image-open, dimension, content, and visual QA",,,False,True,Pixel-identical rendering is not required.
33_fig08_orientation_sensitivity.png,outputs/meeting6/figures/33_fig08_orientation_sensitivity.png,outputs/refactor_validation/meeting6/figures/33_fig08_orientation_sensitivity.png,figure,"existence, image-open, dimension, content, and visual QA",,,False,True,Pixel-identical rendering is not required.
33_fig09_prediction_confidence_mechanism.png,outputs/meeting6/figures/33_fig09_prediction_confidence_mechanism.png,outputs/refactor_validation/meeting6/figures/33_fig09_prediction_confidence_mechanism.png,figure,"existence, image-open, dimension, content, and visual QA",,,False,True,Pixel-identical rendering is not required.
33_fig10_debut_opponent_rating_distribution.png,outputs/meeting6/figures/33_fig10_debut_opponent_rating_distribution.png,outputs/refactor_validation/meeting6/figures/33_fig10_debut_opponent_rating_distribution.png,figure,"existence, image-open, dimension, content, and visual QA",,,False,True,Pixel-identical rendering is not required.
