scope,group,convention,metric,point_estimate,ci_lower,ci_upper,bootstrap_type,cluster_variable,bootstrap_repetitions,clusters,observations,positive_delta_means,negative_delta_means
match_level,either_player_first_5,current,delta_brier,-0.019755865435619,-0.0393349960848804,0.0010151024170152,paired_event_cluster,event_key,2000,98,387,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_5,current,delta_log_loss,-0.0590329403355783,-0.1115001029586889,-0.0039366347132757,paired_event_cluster,event_key,2000,98,387,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_5,reversed,delta_brier,-0.0325479135912091,-0.0535398102613417,-0.0103653824195792,paired_event_cluster,event_key,2000,98,387,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_5,reversed,delta_log_loss,-0.1171994092398599,-0.1759910267027175,-0.0554421161829842,paired_event_cluster,event_key,2000,98,387,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_5,midpoint,delta_brier,-0.0257766349547805,-0.0462685651713989,-0.0038893941402836,paired_event_cluster,event_key,2000,98,387,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_5,midpoint,delta_log_loss,-0.0836635407751392,-0.1373010757868994,-0.0283062298564612,paired_event_cluster,event_key,2000,98,387,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_10,current,delta_brier,-0.0077211892159868,-0.0209558644878349,0.0067641981090414,paired_event_cluster,event_key,2000,165,785,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_10,current,delta_log_loss,-0.0281940246484556,-0.0631120390172142,0.0092811885359688,paired_event_cluster,event_key,2000,165,785,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_10,reversed,delta_brier,-0.0146296780397242,-0.0290571366857204,0.0013019663580075,paired_event_cluster,event_key,2000,165,785,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_10,reversed,delta_log_loss,-0.0592807348259837,-0.0992560785244376,-0.0178774743008575,paired_event_cluster,event_key,2000,165,785,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_10,midpoint,delta_brier,-0.010964042514419,-0.0255741844600665,0.0033240795149685,paired_event_cluster,event_key,2000,165,785,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_10,midpoint,delta_log_loss,-0.0413811188919794,-0.0804999326705683,-0.0036919404330017,paired_event_cluster,event_key,2000,165,785,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_20,current,delta_brier,-0.0012488985463122,-0.0104894988028328,0.0075507659543862,paired_event_cluster,event_key,2000,260,1463,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_20,current,delta_log_loss,-0.0088983255795368,-0.0321623639496218,0.013842461097864,paired_event_cluster,event_key,2000,260,1463,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_20,reversed,delta_brier,-0.0051170494828088,-0.0145670630723316,0.0041728158012223,paired_event_cluster,event_key,2000,260,1463,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_20,reversed,delta_log_loss,-0.0258696953745843,-0.0512071109901317,-0.0010019110429277,paired_event_cluster,event_key,2000,260,1463,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_20,midpoint,delta_brier,-0.0030600719726562,-0.0121323105476886,0.0061975266031511,paired_event_cluster,event_key,2000,260,1463,Positive delta means Glicko is better,Negative delta means Elo is better
match_level,either_player_first_20,midpoint,delta_log_loss,-0.0160881524116442,-0.03943227188608,0.007688380924113,paired_event_cluster,event_key,2000,260,1463,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_1,current,delta_brier,-0.1117937589352434,-0.1585712192572867,-0.0674322893436879,paired_focal_player_cluster,player_id,2000,76,76,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_1,current,delta_log_loss,-0.292283892347268,-0.430188240980887,-0.1696711719430606,paired_focal_player_cluster,player_id,2000,76,76,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_1,current,candidate_bias,0.3355535995692484,0.2322232478650914,0.4447779704898708,paired_focal_player_cluster,player_id,2000,76,76,Positive value means over-prediction,Negative value means under-prediction
appearance_level,first_1,reversed,delta_brier,-0.1498528996319276,-0.2030648405490947,-0.0958233097171857,paired_focal_player_cluster,player_id,2000,76,76,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_1,reversed,delta_log_loss,-0.4503453415429627,-0.6147784763766818,-0.2820089245514671,paired_focal_player_cluster,player_id,2000,76,76,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_1,reversed,candidate_bias,0.3790992426700131,0.2741491633133302,0.4773184649751705,paired_focal_player_cluster,player_id,2000,76,76,Positive value means over-prediction,Negative value means under-prediction
appearance_level,first_1,midpoint,delta_brier,-0.1299149874854928,-0.1817805794767475,-0.0800646524706588,paired_focal_player_cluster,player_id,2000,76,76,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_1,midpoint,delta_log_loss,-0.3593857464664498,-0.5112263894023785,-0.2127197327637739,paired_focal_player_cluster,player_id,2000,76,76,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_1,midpoint,candidate_bias,0.3573264211196307,0.2538035643853519,0.4645340450643705,paired_focal_player_cluster,player_id,2000,76,76,Positive value means over-prediction,Negative value means under-prediction
appearance_level,first_5,current,delta_brier,-0.0200009879129303,-0.0371411077044425,-0.0024123989037794,paired_focal_player_cluster,player_id,2000,108,406,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_5,current,delta_log_loss,-0.062495308652288,-0.1093339282477329,-0.0160316712843659,paired_focal_player_cluster,player_id,2000,108,406,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_5,current,candidate_bias,0.1430203980499082,0.103680024914314,0.1832273312588565,paired_focal_player_cluster,player_id,2000,108,406,Positive value means over-prediction,Negative value means under-prediction
appearance_level,first_5,reversed,delta_brier,-0.0321699925263787,-0.0510517777197853,-0.0138165714943895,paired_focal_player_cluster,player_id,2000,108,406,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_5,reversed,delta_log_loss,-0.1192096995644527,-0.1733521302845354,-0.0665978693142984,paired_focal_player_cluster,player_id,2000,108,406,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_5,reversed,candidate_bias,0.1563249195181105,0.1165698370044175,0.1966928887170881,paired_focal_player_cluster,player_id,2000,108,406,Positive value means over-prediction,Negative value means under-prediction
appearance_level,first_5,midpoint,delta_brier,-0.0257257976174651,-0.0452550766328024,-0.0070293525872225,paired_focal_player_cluster,player_id,2000,108,406,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_5,midpoint,delta_log_loss,-0.0865255697682497,-0.139635548426309,-0.0355365296523725,paired_focal_player_cluster,player_id,2000,108,406,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_5,midpoint,candidate_bias,0.1496726587840094,0.1079895023370808,0.1919318584800229,paired_focal_player_cluster,player_id,2000,108,406,Positive value means over-prediction,Negative value means under-prediction
appearance_level,first_10,current,delta_brier,-0.0104129426644042,-0.022510893592683,0.0022059179338728,paired_focal_player_cluster,player_id,2000,166,855,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_10,current,delta_log_loss,-0.037491274089532,-0.0692352812450582,-0.0025890185128176,paired_focal_player_cluster,player_id,2000,166,855,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_10,current,candidate_bias,0.0793921496709145,0.0498916031040892,0.1084878740005548,paired_focal_player_cluster,player_id,2000,166,855,Positive value means over-prediction,Negative value means under-prediction
appearance_level,first_10,reversed,delta_brier,-0.0171936514327098,-0.0301458854871069,-0.0050359852593969,paired_focal_player_cluster,player_id,2000,166,855,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_10,reversed,delta_log_loss,-0.0698404158831184,-0.1054541991728119,-0.0343851330172515,paired_focal_player_cluster,player_id,2000,166,855,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_10,reversed,candidate_bias,0.0849507288598604,0.0563876796572402,0.1143612985911629,paired_focal_player_cluster,player_id,2000,166,855,Positive value means over-prediction,Negative value means under-prediction
appearance_level,first_10,midpoint,delta_brier,-0.0135977208521074,-0.0259895566950068,-0.0014285887651235,paired_focal_player_cluster,player_id,2000,166,855,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_10,midpoint,delta_log_loss,-0.0511855966013877,-0.0858122347714887,-0.0186024614803764,paired_focal_player_cluster,player_id,2000,166,855,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_10,midpoint,candidate_bias,0.0821714392653874,0.0529235521790547,0.1116829144946227,paired_focal_player_cluster,player_id,2000,166,855,Positive value means over-prediction,Negative value means under-prediction
appearance_level,first_20,current,delta_brier,-0.0038819906422278,-0.010655160048744,0.003510481928674,paired_focal_player_cluster,player_id,2000,255,1695,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_20,current,delta_log_loss,-0.0174371459453065,-0.0354566305487123,0.0026808247616535,paired_focal_player_cluster,player_id,2000,255,1695,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_20,current,candidate_bias,0.0450998641995726,0.0231756707545659,0.0660902024653988,paired_focal_player_cluster,player_id,2000,255,1695,Positive value means over-prediction,Negative value means under-prediction
appearance_level,first_20,reversed,delta_brier,-0.0078983961006166,-0.0157383025596614,-0.0005165306440027,paired_focal_player_cluster,player_id,2000,255,1695,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_20,reversed,delta_log_loss,-0.0361480217505195,-0.0594483021087227,-0.0154251030819261,paired_focal_player_cluster,player_id,2000,255,1695,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_20,reversed,candidate_bias,0.0464841485238161,0.0257733394319612,0.0672827657753628,paired_focal_player_cluster,player_id,2000,255,1695,Positive value means over-prediction,Negative value means under-prediction
appearance_level,first_20,midpoint,delta_brier,-0.0057659269025895,-0.0135046867580799,0.0019161096971251,paired_focal_player_cluster,player_id,2000,255,1695,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_20,midpoint,delta_log_loss,-0.025336831131385,-0.0463269446741866,-0.0048208851271152,paired_focal_player_cluster,player_id,2000,255,1695,Positive delta means Glicko is better,Negative delta means Elo is better
appearance_level,first_20,midpoint,candidate_bias,0.0457920063616943,0.0244907796966632,0.0678951374081667,paired_focal_player_cluster,player_id,2000,255,1695,Positive value means over-prediction,Negative value means under-prediction
