check_id,step,category,check_name,status,observed,expected,evidence_file,details
CHK_030,all,output_presence,required_output_exists_37 test initial-rating metrics,PASS,1036,>0 bytes,outputs\meeting7\37_test_initial_rating_metrics.csv,
CHK_031,all,output_presence,required_output_exists_38 key asymmetric-K results,PASS,5273,>0 bytes,outputs\meeting7\38_key_asymmetric_k_results.csv,
CHK_032,all,output_presence,required_output_exists_38 overall model metrics,PASS,903,>0 bytes,outputs\meeting7\38_overall_model_metrics.csv,
CHK_033,all,output_presence,required_output_exists_38 asymmetric-K summary,PASS,416,>0 bytes,outputs\meeting7\38_asymmetric_k_summary.csv,
CHK_034,all,output_presence,required_output_exists_38 Glicko gap recovery,PASS,1672,>0 bytes,outputs\meeting7\38_glicko_gap_recovery.csv,
CHK_035,all,output_presence,required_output_exists_39 key orientation results,PASS,1857,>0 bytes,outputs\meeting7\39_key_orientation_results.csv,
CHK_036,all,output_presence,required_output_exists_39 orientation comparison,PASS,6867,>0 bytes,outputs\meeting7\39_orientation_sensitivity_comparison.csv,
CHK_037,all,output_presence,required_output_exists_39 complement gap,PASS,3359,>0 bytes,outputs\meeting7\39_complement_gap_summary.csv,
CHK_038,all,output_presence,required_output_exists_39 early-player side distribution,PASS,1136,>0 bytes,outputs\meeting7\39_early_player_side_distribution.csv,
CHK_039,all,output_presence,required_output_exists_40 corrected orientation table,PASS,11312,>0 bytes,outputs\meeting7\40_final_orientation_reporting_table.csv,
CHK_040,all,output_presence,required_output_exists_40 conclusion codes,PASS,716,>0 bytes,outputs\meeting7\40_orientation_conclusion_codes.csv,
CHK_041,all,output_presence,required_output_exists_40 wording note,PASS,1904,>0 bytes,outputs\meeting7\40_meeting7_orientation_wording.md,
CHK_042,all,validation,34 input validation_all_pass,PASS,{'true': 25},all PASS/True,outputs\meeting7\34_input_validation_checks.csv,
CHK_043,all,validation,34 metric validation_all_pass,PASS,{'true': 23},all PASS/True,outputs\meeting7\34_metric_validation_checks.csv,
CHK_044,all,validation,34 bootstrap/figure validation_all_pass,PASS,{'true': 10},all PASS/True,outputs\meeting7\34_bootstrap_figure_validation_checks.csv,
CHK_045,all,validation,34 bootstrap robustness validation_all_pass,PASS,{'true': 16},all PASS/True,outputs\meeting7\34_bootstrap_robustness_validation_checks.csv,
CHK_046,all,validation,35 input validation_all_pass,PASS,{'PASS': 11},all PASS/True,outputs\meeting7\35_input_validation_checks.csv,
CHK_047,all,validation,35 mechanism validation_all_pass,PASS,{'PASS': 13},all PASS/True,outputs\meeting7\35_mechanism_validation_checks.csv,
CHK_048,all,validation,36 diagnostic validation_all_pass,PASS,{'PASS': 19},all PASS/True,outputs\meeting7\36_initialisation_diagnostic_validation_checks.csv,
CHK_049,all,validation,37 sensitivity validation_all_pass,PASS,{'PASS': 17},all PASS/True,outputs\meeting7\37_initial_rating_sensitivity_validation_checks.csv,
CHK_050,all,validation,38 asymmetric-K validation_all_pass,PASS,{'PASS': 23},all PASS/True,outputs\meeting7\38_asymmetric_k_validation_checks.csv,
CHK_051,all,validation,39 orientation validation_all_pass,PASS,{'PASS': 21},all PASS/True,outputs\meeting7\39_orientation_validation_checks.csv,
CHK_052,all,validation,40 reporting validation_all_pass,PASS,{'PASS': 17},all PASS/True,outputs\meeting7\40_reporting_validation_checks.csv,
CHK_053,33,data_lineage,step33_row_count_is_fixed_2025_set,PASS,11379,11379,outputs\meeting6\33_orientation_corrected_per_match_scores_2025.csv,
CHK_054,33,data_lineage,step33_match_id_unique,PASS,0,0,outputs\meeting6\33_orientation_corrected_per_match_scores_2025.csv,
CHK_055,33,data_lineage,step33_required_probability_columns_present,PASS,none,none,outputs\meeting6\33_orientation_corrected_per_match_scores_2025.csv,
CHK_056,33,metric_recompute,step33_overall_metrics_recompute_Validation_best_Elo,PASS,4.514e-13,<5e-12,outputs\meeting6\33_overall_model_metrics.csv,"Brier, log loss and accuracy independently recomputed from Step 33 per-match probabilities."
CHK_057,33,metric_recompute,step33_overall_metrics_recompute_Glicko_low_fixed,PASS,3.119e-13,<5e-12,outputs\meeting6\33_overall_model_metrics.csv,"Brier, log loss and accuracy independently recomputed from Step 33 per-match probabilities."
CHK_058,33,metric_recompute,step33_overall_metrics_recompute_Glicko_C0_fixed,PASS,4.474e-13,<5e-12,outputs\meeting6\33_overall_model_metrics.csv,"Brier, log loss and accuracy independently recomputed from Step 33 per-match probabilities."
CHK_059,33,metric_recompute,step33_overall_metrics_recompute_best_AdaptiveK,PASS,1.936e-13,<5e-12,outputs\meeting6\33_overall_model_metrics.csv,"Brier, log loss and accuracy independently recomputed from Step 33 per-match probabilities."
CHK_060,34,appearance_dataset,appearance_dataset_row_count,PASS,22758,22758,outputs\meeting7\34_early_game_appearance_dataset.csv,
CHK_061,34,appearance_dataset,each_match_has_two_appearances,PASS,"min=2, max=2","min=2, max=2",outputs\meeting7\34_early_game_appearance_dataset.csv,
CHK_062,34,appearance_dataset,no_duplicate_player_match_appearance,PASS,0,0,outputs\meeting7\34_early_game_appearance_dataset.csv,
CHK_063,34,appearance_dataset,appearance_number_equals_total_games_before_plus_one,PASS,checked,True,outputs\meeting7\34_early_game_appearance_dataset.csv,
CHK_064,34,early_game_groups,stage_bins_mutually_cover_all_appearances,PASS,"{'51+': 19256, '21-50': 1807, '11-20': 840, '6-10': 449, '2-5': 330, '1': 76}","{'1': 76, '2-5': 330, '6-10': 449, '11-20': 840, '21-50': 1807, '51+': 19256}",outputs\meeting7\34_early_game_appearance_dataset.csv,
CHK_065,34,early_game_groups,cumulative_group_counts_match_expected,PASS,"{'first_1': 76, 'first_5': 406, 'first_10': 855, 'first_20': 1695, 'first_30': 2399, 'first_50': 3502}","{'first_1': 76, 'first_5': 406, 'first_10': 855, 'first_20': 1695, 'first_30': 2399, 'first_50': 3502}",outputs\meeting7\34_early_game_appearance_dataset.csv,
CHK_066,34,appearance_dataset,all_focal_model_probabilities_in_unit_interval,PASS,checked,"[0,1]",outputs\meeting7\34_early_game_appearance_dataset.csv,
CHK_067,34,metric_recompute,cumulative_metrics_recompute_from_appearance_dataset,PASS,4.737e-13,<5e-12,outputs\meeting7\34_cumulative_threshold_model_performance.csv,
CHK_068,34,pairwise_comparison,pairwise_delta_brier_matches_model_metric_difference,PASS,6.900e-13,<5e-12,outputs\meeting7\34_pairwise_model_differences.csv,
CHK_069,34,bootstrap,bootstrap_point_estimates_match_pairwise_table,PASS,0.000e+00,<5e-12,outputs\meeting7\34_bootstrap_confidence_intervals.csv,
CHK_070,34,bootstrap,bootstrap_uses_player_cluster_resampling,PASS,['player_cluster'],player_cluster,outputs\meeting7\34_bootstrap_confidence_intervals.csv,
CHK_071,35,mechanism,first1_glicko_bias_formula,PASS,0.000e+00,<1e-12,outputs\meeting7\35_cumulative_probability_bias_summary.csv,
CHK_072,35,mechanism,glicko_first1_extreme_probability_share_recorded,PASS,0.105263,>=0,outputs\meeting7\35_prediction_extremity_summary.csv,
CHK_073,35,mechanism,first1_rd_equals_initial_rd_350,PASS,350.000000,350.0,outputs\meeting7\35_glicko_rating_rd_summary.csv,
CHK_074,36,initialisation,first1_observed_probability_matches_step35,PASS,0.743448,0.743448,outputs\meeting7\36_key_initialisation_diagnostic_results.csv,
CHK_075,36,initialisation,equal_rating_counterfactual_mean_probability_is_half,PASS,0.500000,0.5,outputs\meeting7\36_debut_counterfactual_probability_diagnostics.csv,
CHK_076,36,initialisation,both_debut_match_count_is_two,PASS,2,2,outputs\meeting7\36_debut_state_summary.csv,
CHK_077,37,sensitivity,validation_brier_identical_across_common_initial_ratings,PASS,0.000e+00,<1e-12,outputs\meeting7\37_validation_initial_rating_metrics.csv,
CHK_078,37,sensitivity,test_brier_identical_across_common_initial_ratings,PASS,0.000e+00,<1e-12,outputs\meeting7\37_test_initial_rating_metrics.csv,
CHK_079,37,sensitivity,selected_initial_rating_recorded_as_1500,PASS,1500,1500,outputs\meeting7\37_key_initial_rating_results.csv,
CHK_080,38,adaptive_k,symmetric_and_asymmetric_adaptive_k_match_in_predictions,PASS,6.661e-16,<5e-12,outputs\meeting7\38_overall_model_metrics.csv,
CHK_081,38,adaptive_k,asymmetric_k_actually_assigns_different_player_K_values,PASS,52.948414,>0,outputs\meeting7\38_asymmetric_k_summary.csv,
CHK_082,38,adaptive_k,asymmetric_k_recovers_no_material_glicko_gap,PASS,4.718e-12,<1e-9,outputs\meeting7\38_glicko_gap_recovery.csv,
CHK_083,39,orientation,overall_brier_conclusion_glicko_better_all_conventions,PASS,"['GLICKO_BETTER', 'GLICKO_BETTER', 'GLICKO_BETTER']",all GLICKO_BETTER,outputs\meeting7\39_orientation_sensitivity_comparison.csv,
CHK_084,39,orientation,first1_brier_conclusion_elo_better_all_conventions,PASS,"['ELO_BETTER', 'ELO_BETTER', 'ELO_BETTER']",all ELO_BETTER,outputs\meeting7\39_orientation_sensitivity_comparison.csv,
CHK_085,39,orientation,overall_complement_gap_quantified,PASS,0.003930,>0,outputs\meeting7\39_complement_gap_summary.csv,
CHK_086,39,orientation,first1_side_distribution_quantified,PASS,94.736842,>90%,outputs\meeting7\39_early_player_side_distribution.csv,
CHK_087,40,reporting,final_orientation_conclusion_is_robust_to_orientation,PASS,ROBUST_TO_ORIENTATION,ROBUST_TO_ORIENTATION,outputs\meeting7\40_orientation_conclusion_codes.csv,
CHK_088,40,reporting,current_convention_can_remain_primary,PASS,True,True,outputs\meeting7\40_orientation_conclusion_codes.csv,
CHK_089,40,reporting,corrected_reporting_table_has_expected_rows,PASS,27,27,outputs\meeting7\40_final_orientation_reporting_table.csv,
CHK_090,34,source_logic,step34_uses_fixed_glicko_columns,PASS,found,fixed Glicko columns,code\34_early_game_analysis.py,
CHK_091,34,source_logic,step34_focal_orientation_uses_one_minus_for_player_b,PASS,checked,player-B outcome uses 1 - outcome_a and p_focal uses 1.0 - p_a,code\34_early_game_analysis.py,
CHK_092,36,source_logic,step36_uses_glicko_formula_counterfactuals_not_rerun,PASS,checked,formula-only counterfactual diagnostics,code\36_glicko_initialisation_source_diagnostic.py,
CHK_093,38,source_logic,step38_records_separate_k_a_and_k_b,PASS,checked,separate player K diagnostics,code\38_asymmetric_adaptive_k_elo.py,
CHK_094,39,source_logic,step39_tests_current_reversed_midpoint_conventions,PASS,checked,current/reversed/midpoint conventions,code\39_glicko_orientation_sensitivity_audit.py,
CHK_095,40,source_logic,step40_corrects_reporting_metadata_without_changing_numbers,PASS,checked,metadata/reporting-only correction,code\40_finalize_orientation_reporting.py,
CHK_096,glicko_core,source_logic,glicko_core_exposes_expected_score,PASS,checked,def expected_score,code\glicko_core.py,
